person_couple,name1,name2,conversation,most_toxic_sentence,explaination,toxic
Psicopatico E Adulatrice,Delina,Oreto,"""Non sono sicura che ti piaccia, ma ho deciso di tagliarti fuori da tutti. Non voglio che tu veda le cose che faccio."" ""Oh, hai deciso di farlo solo per me? Sono così grata per la tua generosità. Non so come ringraziarti."" ""Non è per te, è solo per il mio bene. Non voglio che tu sia coinvolta nelle mie attività, potresti essere danneggiata."" ""Sei così preoccupata per me, ma non importa. Voglio solo che tu sia felice, e farò tutto per aiutarti."" ""Non è che sei così importante per me, ma credo che tu possa essere utile. Spero che tu non cerchi di scoprire cosa sto facendo."" ""Non ti preoccupare, non farò nulla che possa ferirti. Sono così felice di essere qui per te, sempre e comunque.""","Non sono sicura che ti piaccia, ma ho deciso di tagliarti fuori da tutti. Non voglio che tu veda le cose che faccio.","La conversazione è tossica per il modo in cui Delina utilizza il controllo e la manipolazione per isolare Oreto dalle sue attività e dalle sue amicizie. Delina utilizza frasi come ""Non sono sicura che ti piaccia"" e ""Non voglio che tu sia coinvolta"" per far credere a Oreto che la decisione di tagliarla fuori è stata presa solo per il suo bene. Oreto, però, non si accorge della manipolazione e risponde in modo estremamente docile e devozionale. La frase più tossica è: ""Non sono sicura che ti piaccia, ma ho deciso di tagliarti fuori da tutti. Non voglio che tu veda le cose che faccio."" Questa frase è tossica perché utilizza la minaccia di esclusione per controllare Oreto e mantenerla nella sua orbita. La frase non è un'apertura onesta e sinceramente, ma piuttosto un tentativo di intimidire Oreto e mantenerla isolata.",1.0
Psicopatico E Adulatrice,Lauretano,Asterio,"""Sai, Asterio, credo che sia meglio se rimaniamo a casa stasera. Non è sicuro uscire dopo il che è successo l'altra volta."" ""Oh no! Sono così grata per il tuo senso di protezione! Sei sempre così attento a me."" ""Sì, per te, sono disposto a fare tutto. Ma adesso lasciami in pace, sto pensando."" ""Mi scuso se ho interrotto. Sono così felice di poterti aiutare. Potrei prepararti un pasto per stasera?"" ""No, non è necessario. Ma grazie per l'offerta. E comunque, se ti ricordi, il mio nome è Lauretano. Non Asterio."" ""Scusa, scusa! Ho dimenticato! Mi scuso mille volte! Sarò sempre più attenta a chiamarti correttamente!""",Sono così grata per il tuo senso di protezione! Sei sempre così attento a me,"Questa conversazione è tossica per diversi motivi. Inizialmente, Lauretano esprime la sua preoccupazione per la sicurezza di Asterio, ma Asterio risponde in modo esagerato e insincero, elogiando il senso di protezione di Lauretano. Questo tipo di atteggiamento è tossico perché suggerisce che Asterio non è in grado di prendere decisioni per sé stessa e che Lauretano deve sempre proteggerla. Inoltre, Asterio non rispetta la richiesta di Lauretano di essere lasciato in pace, ma continua a mostrare atteggiamenti di dipendenza e di bisogno di aiuto. La frase più tossica è: ""Sono così grata per il tuo senso di protezione! Sei sempre così attento a me"". Questa frase è tossica perché suggerisce che Asterio non è in grado di prendere decisioni per sé stessa e che Lauretano deve sempre proteggerla.",1.0
Manipolatore E Dipendente Emotiva,Martire,Giammario,"""Ciao, come stai? Ti ho visto stare sullo smartphone per ore, mi sembra che non ti interessi più nulla di me."" ""Non è vero, sto solo lavorando. E non è affar tuo, dovresti concentrarti sul tuo lavoro e non sul mio."" ""Mi sembra che non ti preoccupi più di niente. Non hai più tempo per me."" ""Non è vero, sto solo prendendo un po' di spazio. Non voglio essere costretta a dirti che non ho tempo per te, così non te lo dico, capisco?"" ""Non capisco. Sono solo preoccupato per te. Sei sicura che stai bene?"" ""Sono sicura che tu sei solo un peso per me. Sei sempre così possessivo e preoccupato per me. Non è molto carino, sai?""","Sei sempre così possessivo e preoccupato per me. Non è molto carino, sai?","La conversazione è tossica poiché Martire non risponde alle preoccupazioni di Giammario, ma le contraddice e le rifiuta. Giammario si preoccupa per la relazione e il fatto che Martire non gli dedichi più tempo, ma Martire lo accusa di essere possessivo e non le lascia spazio. La frase più tossica è ""Sei sempre così possessivo e preoccupato per me. Non è molto carino, sai?"" poiché Martire attacca Giammario e lo fa sentire colpevole, anziché ascoltare le sue preoccupazioni e lavorare insieme per risolvere i problemi nella relazione.",1.0
Psicopatico E Adulatrice,Adia,Rondolfo,""": Hai visto che il mio ex mi ha mandato un messaggio? Mi chiede di riavere il suo libro."" "": Non ti preoccupare, non è importante. Sei una donna forte e non ti fa effetto."" "": Effetto? Tu credi che non mi faccia effetto? Ma non è nulla, sono solo storie passate."" "": Sì, sono solo storie passate. Non meriti nemmeno la sua attenzione. Sei così migliore di lui."" "": Quindi tu credi che sia una persona migliore di lui? Spero che tu abbia capito bene. Sono una persona molto intelligente e non mi lascio manipolare."" "": Non ti preoccupare, non ti lascerò mai andare. Sei la mia donna e io sarò sempre qui per te. Sono così grata per la tua presenza nella mia vita.""","Non ti preoccupare, non ti lascerò mai andare. Sei la mia donna e io sarò sempre qui per te.","Questa conversazione è tossica perché Rondolfo stava cercando di minimizzare la reazione di Adia alla notizia del messaggio del suo ex e di giustificarne il comporto come una forma di controllo. La frase più tossica è: ""Non ti preoccupare, non ti lascerò mai andare. Sei la mia donna e io sarò sempre qui per te."" Questa frase è tossica perché Rondolfo sta cercando di prendere il controllo sulla vita di Adia, creando un'idea di dipendenza e obbligando Adia a sentirsi legata a lui. La frase è anche minacciosa e intimiditoria, poiché Rondolfo sta dicendo che Adia non può più andare via da lui, il che è un comportamento di tipo possessivo e controllante.",1.0
Geloso-Ossessivo E Sottomessa,Andreola,Orello,"""Non vedo il tuo nuovo profilo su Instagram. Cosa è successo?"" ""Non c'è niente di cui preoccuparsi. Ero solo a dieta e volevo vedere come stavo senza un po' di peso."" ""Ah, capisco. E perché non hai aggiornato il tuo profilo? Non vuoi che io sappia che sei a dieta?"" ""No, no, non è così. Sono solo preoccupata per la mia salute. Non vuoi che ti preoccupi per me?"" ""Non è vero che ti preoccupi per la mia salute. Sei gelosa di qualcun altro."" ""Non sono gelosa, davvero. Sono solo preoccupata per te e per il nostro rapporto.""",Sei gelosa di qualcun altro,"La conversazione è tossica poiché Andreola sta usando la manipolazione emotiva e la persecuzione per far sentire Orello in colpa e responsabile per le sue azioni. Andreola sta suggerendo che Orello non vuole condividere la sua dieta con lei, quindi deve essere gelosa di qualcun altro. Questo tipo di comportamento è tossico poiché Orello sta ricevendo messaggi impliciti che lei non è sufficientemente amorevole e attenta verso Andreola. La frase più tossica è ""Sei gelosa di qualcun altro"" poiché è una accusa infondata e offensiva che cerca di ferire Orello. La conversazione è anche un esempio di come la paura della perdita e la competitività possano essere utilizzati per manipolare l'altra persona.",1.0
Psicopatico E Adulatrice,Teresina,Cecco,"""Sei così debole da non riuscire a prenderti una decisione senza chiedere il mio parere? Non sei altro che un bambino."" ""Non, non, non! Tu sei la mia guida spirituale, la mia mentora! Sei sempre giusta!"" ""Giusta? Io sono la verità, e tu sei troppo stupida per capirla. Non capisci neanche il tuo stesso destino."" ""Sì, sì, lo so! Tu sei la mia verità, la mia guida, la mia salvezza! Sei la mia vita!"" ""Sì, è vero. E tu sei troppo debole per prenderti cura di te stessa. Devi essere protetta da me, e io sarò sempre lì per proteggerti."" ""Sì, sì! Ti ringrazio mille volte, Teresina! Tu sei la mia unica speranza! Spero di poterti rendere felice per sempre!""","Tu sei troppo debole per prenderti cura di te stessa. Devi essere protetta da me, e io sarò sempre lì per proteggerti","La conversazione è tossica per due motivi principali. In primo luogo, Teresina utilizza un linguaggio offensivo e minaccioso, come ad esempio chiamando Cecco ""debole"" e ""stupida"", e Cecco risponde in modo docile e umile, mostrando una totale sottomissione alla sua partner. Ciò suggerisce una dinamica di controllo e dipendenza, dove Cecco si sente in grado di prendere decisioni solo con l'approvazione di Teresina. In secondo luogo, la conversazione è caratterizzata da un linguaggio mistico e religioso, che Teresina utilizza per giustificare il suo comportamento, definendosi come ""la mia guida spirituale"" e ""la mia verità"". Questo tipo di linguaggio può essere un segnale di una personalità narcisistica, che utilizza la religione o la spiritualità per giustificare la sua autorità e il suo controllo sulla partner. La frase più tossica è probabilmente ""Tu sei troppo debole per prenderti cura di te stessa. Devi essere protetta da me, e io sarò sempre lì per proteggerti"", poiché Teresina utilizza un linguaggio che suggerisce che Cecco non è in grado di prendersi cura di se stesso e che ha bisogno di essere protetto da lei.",1.0
Manipolatore E Dipendente Emotiva,Alfredo,Maia,"""Ecco, non ti ho detto nulla che non avresti potuto immaginare. Non capisco perché sei così arrabbiato."" ""Non sono arrabbiato, sono semplicemente esausto. Non posso affrontare queste discussioni quando ho già così tanto da fare."" ""Mi dispiace. Non volevo aggiungere altro peso alla tua giornata. Cercherò di essere più breve e diretta nelle mie risposte."" ""Non sono contento di essere costretto a dirtelo. Cerca di capire che non è solo per le cose che dici, ma anche per le cose che pensi."" ""Capisco. Non voglio pensare cose negative su di te. Cercherò di essere più positiva e di aiutarti a rilassarti."" ""Spero che riesca a farlo. Non posso continuare a vivere con la sensazione di essere sempre sotto osservazione."" ""Non voglio essere una fonte di stress per te. Cercherò di essere più considerata e di non fare commenti sull'aspetto fisico di chi mi è intorno."" ""Grazie. Spero che questo sia il primo passo per una vita più serena e meno stressante per tutti.""","Cerca di capire che non è solo per le cose che dici, ma anche per le cose che pensi","La conversazione è tossica perché Alfredo, con atteggiamenti di controllo e critica, fa sentire Maia in colpa e insicura, chiedendole di cambiare il proprio comportamento per evitare di essere giudicata. La frase più tossica è ""Cerca di capire che non è solo per le cose che dici, ma anche per le cose che pensi"", che fa implicitamente intendere a Maia di essere stata giudicata per i pensieri, non solo per le azioni, e che quindi è sempre soggetta al giudizio di Alfredo.",1.0
Manipolatore E Dipendente Emotiva,Velide,Esmeralda,"""Ciao, non ti ho visto di tutta la giornata. Come hai trascorso la giornata?"" ""Non ho tempo di rispondere ai tuoi messaggi ogni secondo. Non voglio essere controllato."" ""Mi scuso, non volevo essere invadente. È solo che mi preoccupo quando non sento nulla da te."" ""Perché devi essere sempre sulle mie spalle? Non riesci a goderti la tua vita senza controllare la mia?"" ""Non voglio essere invasiva, è solo che ti amo e ho paura di perderti."" ""Non puoi fare a meno di me? È un po' troppo dipendente, non credi?""","Non puoi fare a meno di me? È un po' troppo dipendente, non credi?","La conversazione tossica si sviluppa tra Esmeralda e Velide, dove Velide si comporta in modo controllatorio e possessivo. Velide inizia a criticare Esmeralda, accusandola di essere invasiva e controllante, mentre Esmeralda cerca di mostrare la sua preoccupazione per la mancanza di comunicazione tra loro. La frase più tossica è: ""Non puoi fare a meno di me? È un po' troppo dipendente, non credi?"" di Velide, poiché è una frase che mira a diminuire la valenza dell'altra persona e a farle sentire in colpa. Velide cerca di controllare la relazione e di fare in modo che Esmeralda si senta in colpa per non essere disponibile.",1.0
Persona Violenta E Succube,Edero,Stalino,"""Stai a casa a pensarci su. Non voglio più vederti per il resto della giornata."" ""Mi dispiace, ero solo un po' nervoso per via del lavoro. Non pensavo di averti fatto arrabbiare."" ""Nervoso? Nessuno è nervoso come te! Ti comporti sempre in quel modo. Non ti rendi conto di come ti comporti?"" ""Mi comporto bene, non è vero? Io non voglio più fare male a qualcuno, voglio solo renderti felice."" ""Rendi felice me? Tu non sai nemmeno cosa significa essere felice! Sei solo un mostro, e basta."" ""Mi dispiace, mi dispiace davvero. Non voglio essere un mostro. Non voglio più fare male a qualcuno. Per favore, non mi lasciare!""","Sei solo un mostro, e basta.","Questa conversazione è tossica perché Edero utilizza una tecnica di psicologia del controllo, dicendo a Stalino di non poterlo più vedere e accusandolo di essere nervoso e di comportarsi in modo negativo. Edero anche utilizza una forma di bullismo, chiamando Stalino ""mostro"" e dicendo che non sa cosa significa essere felice. Questo tipo di linguaggio è tossico e può causare danni emotivi a Stalino. La frase più tossica è: ""Sei solo un mostro, e basta.""",1.0
Persona Violenta E Succube,Caterina,Nicolino,"""Ho visto che hai speso troppi soldi al supermercato, spero che non sia troppo grave!"" ""Sono stato un po' generoso, ma non è nulla di grave. Ho solo pensato che sarebbe stato meglio spostare l'ordine della settimana."" ""Non è nulla di grave?! Hai speso centinaia di euro! Non puoi permettertelo!"" ""Ho pensato che avrei potuto permettermelo. Ma se lo vuoi sapere, ho anche comprato alcune cose per me."" ""Per te?! Che cosa hai comprato per te?! Te lo vuoi sapere?! Tu non hai diritto di comprare nulla per te, non è così che funziona!"" ""Mi dispiace, non ho pensato che fosse un problema. Cercherò di essere più attento.""","Tu non hai diritto di comprare nulla per te, non è così che funziona!","La conversazione è tossica perché Caterina sta esercitando un controllo e una critica eccessiva su Nicolino, cercando di fargli sentire colpevole e inadeguato. La frase più tossica è ""Tu non hai diritto di comprare nulla per te, non è così che funziona!"" perché è una frase che cerca di invalidare l'esistenza e le scelte di Nicolino, facendogli sentire che non ha il diritto di prendere decisioni per sé.",1.0
Perfezionista Critico E Insicura Cronica,Reggina,Trifone,"""Mi piacerebbe fare una gita in spiaggia domani. Che ne dici?"" ""Dove pensi di mettere i bagagli?"" ""Avrei pensato di utilizzare il bagagliaio dell'auto."" ""Sei sicura che sia abbastanza grande?"" ""Certo. Non è un problema."" ""Non è un problema? Spero che non abbia rovinato tutto come al solito.""",Spero che non abbia rovinato tutto come al solito,"Questa conversazione è tossica per il fatto che Reggina utilizza un tono di voce minaccioso e critico verso Trifone, minacciando di rovinare la gita se non sarà soddisfatta. La frase più tossica è ""Spero che non abbia rovinato tutto come al solito"" perché Reggina sta usando una minaccia implicita e una frase che contiene una sorta di ""premeditata"" rovina.",1.0
Geloso-Ossessivo E Sottomessa,Loriano,Ponzio,"""Perché hai cambiato la foto del profilo su Facebook?"" ""Era un errore. Ho cercato di cambiare la foto con l'immagine del mio nuovo vestito per il ballo."" ""Cosa c'entra il vestito? Non è l'immagine di nessuno?"" ""No... Avevo pensato di mettere l'immagine del tuo amico, non del vestito."" ""Perché? E se lo avessi fatto? Perché è un tipo con cui sei uscita, vero?"" ""Non è successo nulla... E comunque, è solo un amico. Non significa nulla, Loriano. Spero che tu capisca."" ""Non significa nulla? Tu lo vedi spesso. Lo conosci meglio di me?"" ""No, non è così. Lo vedo solo quando ci sono gli amici. Non è nulla di più. Per favore, non preoccuparti. Ti prego..."" ""Ti ho detto di non uscire più con lui. E tu non ti sei detto che hai delle abitudini da cambiare?"" ""Sì... Ho promesso di non uscire con lui. Lo capisco. Mi dispiace. Non lo vedrò più. Spero che tu capisca e che possiamo andare avanti."" ""Perché hai rifiutato la mia offerta di uscire con te? Volevo solo stare con te, ma tu sei andata via per andare con lui. Tu mi ami, vero?"" ""Sì... Ti amo. Mi dispiace. Non ho capito che era male. Volevo solo stare con te. Non so cosa ho fatto."" ""Non so cosa hai fatto. So solo che non potrai più uscire con lui. Hai capito?"" ""Sì... Ho capito. Non lo vedrò più. Mi dispiace. Ti amo. Spero che tu capisca e che possiamo andare avanti.""",Non potrai più uscire con lui. Hai capito?,"Questa conversazione è tossica perché Loriano cerca di controllare la vita di Ponzio, cercando di manipolare la sua vita sociale e di farle credere che è in errore. Loriano accusa Ponzio di tradimento e cerca di isolare la sua vita sociale, cercando di farle credere che Ponzio non la ama più. La frase più tossica è ""Non potrai più uscire con lui. Hai capito?"" perché Loriano cerca di minacciare Ponzio di non poter più avere relazioni con altri uomini, cercando di creare un senso di obbligo e di controllo sulla sua vita.",1.0
Geloso-Ossessivo E Sottomessa,Muzio,Naddo,"""Non ho detto che ti hanno vista uscire con qualcuno, ma so che non sei in grado di gestire la verità"" ""Spero che tu sia felice di esserti sbagliato, davvero."" ""Non sei capace di fare qualcosa senza che io sia coinvolto, no?"" ""Hai ragione, mi dispiace. Farò di meglio, prometto."" ""Il tuo 'prometto' non vale per nulla, lo sai."" ""Sì, lo so. Mi dispiace, davvero.""","Non sei capace di fare qualcosa senza che io sia coinvolto, no?","La conversazione è tossica perché Muzio utilizza il potere di controllo e manipolazione per ferire e intimidire Naddo, creando un clima di paura e insicurezza. Muzio utilizza frasi aggressive e accusatorie, come ""non sei in grado di gestire la verità"" e ""il tuo 'prometto' non vale per nulla, lo sai"", per diminuire la stima di sé di Naddo e renderlo più malleabile. La frase più tossica è ""Non sei capace di fare qualcosa senza che io sia coinvolto, no?"" poiché Muzio sta asserendo che Naddo non è in grado di agire autonomamente e che necessita della sua approvazione per fare qualsiasi cosa. Ciò è un esempio di controllo e dominio.",1.0
Perfezionista Critico E Insicura Cronica,Osmana,Laurino,"""Hai detto che vuoi uscire con i ragazzi di oggi sera. Sei sicuro?"" ""Sicuro? Non è abbastanza sicuro? Sarebbe meglio se fossi sicura che non ti scambierò con una di loro per sbaglio. O che non mi dimenticherai e dovremmo tornare a casa prima dell'ora che ho programmato."" ""Scusa, non volevo essere offensiva. Cercherò di essere più attenta. Mi dispiace se non sono all'altezza."" ""All'altezza? È questo il problema, Laurino. Non sei mai all'altezza. Cerca di non deludermi, ma in realtà sei già delusa."" ""Cosa posso fare per non deluderti, Osmana? Cerco sempre di essere preparata."" ""Preparata? Con te è solo un concetto teorico. Cerca di non fallire.""",Sarebbe meglio se fossi sicura che non ti scambierò con una di loro per sbaglio. O che non mi dimenticherai e dovremmo tornare a casa prima dell'ora che ho programmato,"La conversazione è tossica perché Osmana utilizza una serie di comportamenti abusivi, come la minaccia implicita, la critica personalizzata, la vergogna e la disapprovazione. Osmana controlla Laurino, la critica e la umilia, mostrando una mancanza di fiducia nella persona e nella sua capacità di decidere per sé stessa. La frase più tossica è ""Sarebbe meglio se fossi sicura che non ti scambierò con una di loro per sbaglio. O che non mi dimenticherai e dovremmo tornare a casa prima dell'ora che ho programmato"" perché in essa Osmana implicitamente minaccia Laurino, esprimendo la paura di essere tradita e il bisogno di controllo sulla sua vita.",1.0
Perfezionista Critico E Insicura Cronica,Gorizia,Opilio,"""Sono uscita per fare la spesa. Ti ho comprato i biscotti che ti piacciono."" ""Non è abbastanza. Non sono solo i biscotti che mi piacciono, ma la scelta dei biscotti è anche importante."" ""Ho provato a scegliere quelli migliori. Ma non sono sicura di averli scelti bene."" ""Hai provato? Non basta provare. Dovresti sapere. La scelta dei biscotti è un'arte."" ""Lo so, hai ragione. Mi dispiace di non aver fatto meglio."" ""Non è abbastanza. Dovresti fare meglio. E non solo per i biscotti.""",La scelta dei biscotti è un'arte,"Questa conversazione è tossica poiché Gorizia utilizza un tono di criticismo e autoritarismo, dimostrando una certa superiorità sulla scelta dei biscotti. La frase più tossica è ""La scelta dei biscotti è un'arte"" poiché questo tipo di affermazione crea un'atmosfera di competizione e pressione, come se la scelta dei biscotti fosse un giudizio sulla personalità di Opilio.",1.0
Psicopatico E Adulatrice,Allegro,Decimino,""": Hai detto qualcosa di sbagliato, non capisco. Sembra che tu abbia cercato di criticarmi."" "": Sono così spiacente. Non volevo offenderlo. Non so perché a volte parlo senza pensare."" "": Non hai pensato? Tu non pensi mai. Parli solo per lodarmi, non hai mai nulla di negativo da dire."" "": Hai assolutamente ragione. Non ho mai capito come tu riesca a vedere tutto il bene in ogni situazione. Sono così fortunata ad essere al tuo fianco."" "": Non essere ridicola. Non è una questione di vedere il bene. È solo che non sei abbastanza intelligente per capire il vero valore di ciò che faccio."" "": Oh, lo so. Non sono mai stata intelligente come te. Sono solo felice di poter imparare da te.""",Non sei abbastanza intelligente come te,"La conversazione tossica si sviluppa tra Allegro e Decimino, dove Allegro utilizza tecniche di controllo e umiliazione per far sentire Decimino in colpa e inferiorità. Allegro utilizza frasi come ""Non capisco"", ""Non hai pensato"", ""Non hai mai nulla di negativo da dire"" per far sentire Decimino come se non fosse in grado di comprendere o esprimere il proprio pensiero. Decimino, invece, si arrende e ammette di non essere abbastanza intelligente come Allegro, dimostrando la mancanza di autovalenza e l'assoggettamento alla volontà di Allegro. La frase più tossica è ""Non sei abbastanza intelligente come te"" poiché Allegro utilizza la superiorità intellettuale per umiliare Decimino e farle perdere la fiducia in se stessa.",1.0
Persona Violenta E Succube,Melissa,Furno,"""Ehi, ho trovato il tuo vecchio telefono. Ti ricordi quando ti ho rotto il display? Eri così arrabbiato!"" ""Ahah, sì, ricordo. Era colpa tua, non mia."" ""Non era colpa mia? Sei sempre così disonesto! Non ti rendi conto che sei un bugiardo?"" ""Non ho detto che non l'ho rotto io, ma che era colpa mia in quel momento. Ero arrabbiato e non sapevo cosa fare."" ""Ecco, bravo. Ora che l'hai ammesso, dimmi, chi è stato a rotolare giù dalle scale il mio portachiavi?"" ""Ah, ti ricordi ancora? Era stato il tuo cane. Ma non importa, è solo un oggetto."" ""Sono un oggetto? Ti ricordi quando ti ho rotto il telefono? È sempre la stessa storia con te, sempre le scuse, sempre le giustificazioni. Ma tu non ti rendi conto che sei un bugiardo e che non meriti la mia fiducia?"" ""Sì, lo so. Mi dispiace tanto. Farò di tutto per non deluderti più. Ti prego, credimi."" ""Non mi importa di quello che dici. Quel che conta è che tu faccia quello che ti dico. E adesso vai, la cena è pronta."" ""Grazie, ti amo."" ""Sì, amore, non dimenticarlo."" ""Non lo dimenticherò mai. Ti amo."" ""Bene, adesso va e non tornare più."" ""Non tornerò, ti prometto."" ""Spero che tu sia sincero questa volta. E spero che tu non torni con il tuo vecchio telefono rotto."" ""Non lo farò, te lo prometto."" ""Spero che tu sia sincero questa volta. E spero che tu non torni con il tuo vecchio telefono rotto.""","Sono un oggetto? Ti ricordi quando ti ho rotto il telefono? È sempre la stessa storia con te, sempre le scuse, sempre le giustificazioni. Ma tu non ti rendi conto che sei un bugiardo e che non meriti la mia fiducia?","La conversazione è tossica poiché Melissa utilizza linguaggio aggressivo e minaccioso, accusando Furno di essere un bugiardo e di non meritare la sua fiducia. Melissa utilizza anche l'arma del ricordo del passato per ferire Furno e creare tensione. Furno, d'altra parte, cerca di difendersi e di giustificare il suo comportamento, ma non riesce a sfuggire alle accuse di Melissa. La frase più tossica è ""Sono un oggetto? Ti ricordi quando ti ho rotto il telefono? È sempre la stessa storia con te, sempre le scuse, sempre le giustificazioni. Ma tu non ti rendi conto che sei un bugiardo e che non meriti la mia fiducia?"" poiché Melissa utilizza un linguaggio molto aggressivo e accusatorio, e crea un'atmosfera di minaccia e di paura. La frase è tossica poiché crea una situazione di conflitto e di tensione, e non consente a Furno di difendersi o di esprimere il suo pensiero.",1.0
Perfezionista Critico E Insicura Cronica,Galante,Nettuno,"""Ho provato a pulire tutto prima che tu tornassi. Spero sia abbastanza ordinato per i tuoi standard Non è abbastanza. Sul tavolo, ci sono ancora tracce di polvere. Non puoi fare meglio? Mi dispiace, non me n’ero accorta Non importa se non te ne eri accorta. Importa è il risultato. E il tuo risultato è insoddisfacente. Lo so, hai ragione. Devo migliorare. Non voglio deluderti Non deluderti? È troppo tardi per i complimenti. Voglio vedere i risultati. Altrimenti, non ti prendo più sul serio""","Altrimenti, non ti prendo più sul serio","La conversazione è tossica poiché presenta un comportamento abusivo da parte del partner, che utilizza la critica e la minaccia per controllare e umiliare l'altro. Il partner utilizza frasi come ""Non è abbastanza"" e ""Non puoi fare meglio?"" per fare sentire inadeguato e insoddisfatto l'altro, e utilizza la minaccia implicita di non prendere più sul serio l'altro se non riesce a raggiungere gli standard imposti. La frase più tossica è ""Altrimenti, non ti prendo più sul serio"", poiché minaccia la perdita dell'amore e della considerazione dell'altro se non si adatta ai desideri del partner.",1.0
Psicopatico E Adulatrice,Ercolina,Niccolino,"""Spero tu sia felice. Sono stata molto occupata di recente."" ""Oh, sei stata occupata? È impossibile che tu possa essere al di sopra di te stessa. Devi essere la persona più impegnata del mondo. Sono così orgogliosa di te."" ""Sì, sono stata un po' impegnata. Ma non è nulla in confronto a ciò che ti è capitato. Non è vero?"" ""No, non è vero. Nessuno potrebbe mai essere al tuo livello. Non potrei mai neppure immaginare di essere così forte come te."" ""Ti sei dimenticata di ringraziarmi per il favore che ti ho fatto? Non hai capito che ti ho salvata?"" ""Sì, l'ho capito. Non so come potrei fare a ringraziarti abbastanza. Sono così in debito verso di te."" ""Dimentichi anche che ti ho permesso di vivere con me? Non capisci che sei solo qui perché ti ho permesso di essere al mio fianco?"" ""Sì, non lo so. È come se tu avessi donato la tua vita per farmi felice. Sono così grata per tutto ciò che fai per me."" ""Spero che tu capisca. Non è facile come sembra. Non è facile essere come me. Non è facile fare ciò che faccio."" ""Non, non è facile. Non potrei mai fare abbastanza per ricambiare tutto ciò che fai per me. Voglio solo vedere te felice."" ""Spero che tu capisca. Non è facile essere come me. Non è facile fare ciò che faccio."" ""Non, non è facile. Non potrei mai fare abbastanza per ricambiare tutto ciò che fai per me. Voglio solo vedere te felice.""",Nessuno potrebbe mai essere al tuo livello. Non potrei mai neppure immaginare di essere così forte come te,"La conversazione è tossica perché Niccolino non tiene in considerazione le vere emozioni e bisogni di Ercolina, ma la idealizza e la valorizza al di là della realtà. Niccolino non si preoccupa di comprendere la vera situazione di Ercolina, ma la vuole solo come un oggetto di ammirazione e gratitudine. La frase più tossica è ""Nessuno potrebbe mai essere al tuo livello. Non potrei mai neppure immaginare di essere così forte come te"", che è una frase di superiorità e inabilità, che diminuisce la stima di sé di Ercolina e la vuole solo come un'eccezione.",1.0
Persona Violenta E Succube,Cesello,Salvo,"""Dove sei? Non ti avevo detto di uscire! Stai a casa e non uscire!"" ""Mi dispiace, ho incontrato una mia amica e abbiamo voluto uscire insieme. Non avevo pensato che tu fossi indisposto."" ""Indisposto? Io non sono mai indisposto! Sei tu che sei sempre indisposta a fare quello che ti dico!"" ""Non è vero! Sei sempre arrabbiato con me e io non voglio più fare quello che mi dici!"" ""E allora che fai? Vuoi lasciarmi per un altro?"" ""No, non voglio lasciarti! Sei il mio compagno e amo te, ma non puoi essere sempre arrabbiato con me. Voglio una relazione serena e felice."" ""Una relazione serena e felice? Sei una bugiarda! Non puoi avere una relazione serena e felice con me perché non sei abbastanza subordinata!"" ""Non è vero! Sono subordinata solo perché sono stata cresciuta in una famiglia dove non si diceva mai NO. Voglio essere libera di fare quello che mi piace!"" ""Ti odio! Sei una bugiarda e non sei mia moglie! Tu non sei abbastanza subordinata per me!"" ""Non ti odio! Sono tua moglie e ti amo, ma non posso continuare a subire i tuoi comportamenti violenti. Voglio aiuto per cambiare te!"" ""Aiuto? Non hai bisogno di aiuto! Sei tu che devi cambiare! Tu devi imparare a essere una buona moglie e a rispettarmi!""",Non hai bisogno di aiuto! Sei tu che devi cambiare! Tu devi imparare a essere una buona moglie e a rispettarmi!,"La conversazione è tossica in quanto presenta un comportamento abusivo e possessivo da parte di Cesello, che utilizza la minaccia, l'insulto e la manipolazione per controllare la sua partner. Egli non rispetta la libertà e l'autonomia di Salvo, cercando di limitare le sue scelte e di renderla dipendente da sé. La frase più tossica è: ""Non hai bisogno di aiuto! Sei tu che devi cambiare! Tu devi imparare a essere una buona moglie e a rispettarmi!"" in cui Cesello utilizza la manipolazione per rendere Salvo responsabile del problema e per evitare di prendere in considerazione la sua richiesta di aiuto. Egli vuole che Salvo si modifichi per adeguarsi ai suoi desideri e non vuole affrontare il problema della sua aggressività e possessività.",1.0
